NAMED_LOCATION,PUBLIC_IP,WHOIS_OWNER,CVS_OWNER_FIELD,IN_USE,STATUS,CATEGORY,PUB_PRIV,IPAM_MATCH_TYPE,CANONICAL_LOCATION,CITY,STATE,ROUTING_DOMAIN,HERITAGE,APM_IDS,APP_ACRONYMS,PCI_DESIGNATION,EXT_ASN_ORG,EXT_PROVIDER_CATEGORY,EXT_GEO_COUNTRY,EXT_CVS_OWNED_FLAG,EXT_RISK_SCORE,EXT_IS_THREAT,EXT_IS_TOR,EXT_RISK_SIGNALS,NOTES,FW_DIRECTION,FW_RULE_STATUS,FW_RULE_ACTION,FW_PLATFORM,FW_TYPE,FW_RULE_NAMES,FW_COUNT,RULE_COUNT,CHANGE_REF,FW_POLICY_ALIGNMENT,GOVERNANCE_GAP,SECURITY_CONTEXT,SERVICE_PORT,FW_OBJECT_NAME,INTERNAL_EGRESS_FIREWALL,INTERNAL_EGRESS_CONFIDENCE,INTERNAL_APP,FIRST_SEEN
Active Health,65.203.129.3/32,AETNA LIFE INSURANCE COMPANY,Martin Paglione,YES,,CVS/AETNA INTERNAL IPAM MATCH,"PRIVATE (RFC1918, internal)",CONTAINED_IN,Phoenix AZ - Aetna DC,Phoenix,AZ,EGR_MDC-TI,AETNA,,,,AMAZON-02,Cloud-IaaS,India,N,40,N,N,high_risk_country_watchlist|broad_source|no_change_ref|no_internal_app,,Inbound,Active,allow,PAZSHDC-SEC-INT-PRD-MGT-01,FMC,"acl_outside_#124,acl_outside_#130,acl_outside_#135",1,3,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: India; ASN: AMAZON-02; category: Cloud-IaaS; risk score: 40; signals: high_risk_country_watchlist|broad_source|no_change_ref|no_internal_app,",FTP_ANY_SVC_Grp,sFTP_ANY_SVC_Grp",,,,,20260821
Active Health,8.30.149.99/32,"Aetna, Inc.",Martin Paglione,YES,,EXTERNAL / THIRD-PARTY,PUBLIC (external),,,,,,,,,,LEVEL3,Unknown,United States of America,N,40,N,N,ssh_rdp_external|multi_fw_exposure|no_change_ref|no_internal_app,,Outbound,Active,allow|permit,RRICMDC-SEC-INT-PRD-MGT,FMC|FTD,"268479270,inside_access_in_#3778",3,3,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: United States of America; ASN: LEVEL3; category: Unknown; risk score: 40; signals: ssh_rdp_external|multi_fw_exposure|no_change_ref|no_internal_app,"ssh rule-id,",,,,,20260821
Aetna (HCB),206.213.192.0/18,NYLCare Corp.,,,,CVS/AETNA INTERNAL IPAM MATCH,PUBLIC,EXACT,Middletown CT - Aetna MDC,Middletown,CT,Internet-Facing,AETNA,,,,BINDNET RJ,Unknown,Brazil,N,20,N,N,broad_source|no_change_ref|no_internal_app,,Inbound,Active,allow,PAZSHDC-SEC-INT-PRD-MGT-01,FMC,"acl_outside_#124,acl_outside_#130,acl_outside_#135",1,3,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: Brazil; ASN: BINDNET RJ; category: Unknown; risk score: 20; signals: broad_source|no_change_ref|no_internal_app,",FTP_ANY_SVC_Grp,sFTP_ANY_SVC_Grp",,,,,20260821
Aetna (HCB),208.66.124.0/24,"Coventry Health Care, Inc.",,,,CVS/AETNA INTERNAL IPAM MATCH,"PRIVATE (RFC1918, internal)",CONTAINED_IN,Phoenix AZ - Aetna DC,Phoenix,AZ,Internet-Facing,AETNA,,,,COGENT-174,Unknown,United States of America,N,20,N,N,broad_source|no_change_ref|no_internal_app,,Inbound,Active,allow,PAZSHDC-SEC-INT-PRD-MGT-01,FMC,"acl_outside_#124,acl_outside_#130,acl_outside_#135",1,3,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: United States of America; ASN: COGENT-174; category: Unknown; risk score: 20; signals: broad_source|no_change_ref|no_internal_app,",FTP_ANY_SVC_Grp,sFTP_ANY_SVC_Grp",,,,,20260821
Aetna (HCB),12.10.217.0/24,COVENTRY HEALTH CARE,,,,CVS/AETNA INTERNAL IPAM MATCH,"PRIVATE (RFC1918, internal)",EXACT,Phoenix AZ - Aetna DC,Phoenix,AZ,EGR_MDC-TI,AETNA,,,,ATT-INTERNET2,Unknown,United States of America,N,50,N,N,ssh_rdp_external|broad_source|multi_fw_exposure|no_change_ref|no_internal_app,,Outbound,Active,allow|permit,PAZSHDC-SEC-EXTSIPA-01,ASA|FMC,"outbound,268476602,268440577,268459821,outbound_#1269,outbound_#1270,inbound_#817,inbound_#818,outbound_#1218,outbound_#1219,inbound_#14,inbound_#15",7,24,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: United States of America; ASN: ATT-INTERNET2; category: Unknown; risk score: 50; signals: ssh_rdp_external|broad_source|multi_fw_exposure|no_change_ref|no_internal_app,",ssh rule-id,netbios-ssn rule-id,netbios-ns rule-id,netbios-dgm rule-id,135 rule-id,445 rule-id,1024 5000,49152 65535,MSB_TCP-INT_DCOM,MSB_UDP-INT_DCOM,MSB_TCP-FTD_RIPCI,MSB_UDP-FTD_RIPCI,MSB_TCP-FTD_EDCOM,MSB_UDP-FTD_EDCOM,MSB_TCP,MSB_UDP",,,,,20260821
Aetna (HCB),65.241.18.0/24,Verizon,,,,CVS/AETNA INTERNAL IPAM MATCH,"PRIVATE (RFC1918, internal)",EXACT,Phoenix AZ - Aetna DC,Phoenix,AZ,EGR_MDC-TI,AETNA,,,,AMAZON-02,Cloud-IaaS,India,N,40,N,N,high_risk_country_watchlist|broad_source|no_change_ref|no_internal_app,,Inbound,Active,allow,PAZSHDC-SEC-INT-PRD-MGT-01,FMC,"acl_outside_#124,acl_outside_#130,acl_outside_#135",1,3,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: India; ASN: AMAZON-02; category: Cloud-IaaS; risk score: 40; signals: high_risk_country_watchlist|broad_source|no_change_ref|no_internal_app,",FTP_ANY_SVC_Grp,sFTP_ANY_SVC_Grp",,,,,20260821
Aetna (HCB) Breakdown,206.213.251.0/24,NYLCare Corp.,,,,CVS/AETNA INTERNAL IPAM MATCH,PRIVATE,EXACT,Middletown CT - Aetna MDC,Middletown,CT,Internet-Facing,AETNA,,,,BINDNET RJ,Unknown,Brazil,N,20,N,N,broad_source|no_change_ref|no_internal_app,,Inbound,Active,allow,PAZSHDC-SEC-INT-PRD-MGT-01,FMC,"acl_outside_#124,acl_outside_#130,acl_outside_#135",1,3,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: Brazil; ASN: BINDNET RJ; category: Unknown; risk score: 20; signals: broad_source|no_change_ref|no_internal_app,",FTP_ANY_SVC_Grp,sFTP_ANY_SVC_Grp",,,,,20260821
Aetna (HCB) Breakdown,206.213.209.0/24,NYLCare Corp.,,,,CVS/AETNA INTERNAL IPAM MATCH,PRIVATE,EXACT,Windsor CT - Aetna WDC,Windsor,CT,Internet-Facing,AETNA,,,,BINDNET RJ,Unknown,Brazil,N,20,N,N,broad_source|no_change_ref|no_internal_app,,Inbound,Active,allow,PAZSHDC-SEC-INT-PRD-MGT-01,FMC,"acl_outside_#124,acl_outside_#130,acl_outside_#135",1,3,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: Brazil; ASN: BINDNET RJ; category: Unknown; risk score: 20; signals: broad_source|no_change_ref|no_internal_app,",FTP_ANY_SVC_Grp,sFTP_ANY_SVC_Grp",,,,,20260821
Aetna (HCB) Breakdown,206.213.193.0/24,NYLCare Corp.,,,,CVS/AETNA INTERNAL IPAM MATCH,PRIVATE,EXACT,Phoenix AZ - Aetna DC,Phoenix,AZ,EGR_MDC-TI,AETNA,,,,BINDNET RJ,Unknown,Brazil,N,20,N,N,broad_source|no_change_ref|no_internal_app,,Inbound,Active,allow,PAZSHDC-SEC-INT-PRD-MGT-01,FMC,"acl_outside_#124,acl_outside_#130,acl_outside_#135",1,3,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: Brazil; ASN: BINDNET RJ; category: Unknown; risk score: 20; signals: broad_source|no_change_ref|no_internal_app,",FTP_ANY_SVC_Grp,sFTP_ANY_SVC_Grp",,,,,20260821
Aetna International Thailand,103.108.49.126/32,Bupa Health Insurance,,,,EXTERNAL / THIRD-PARTY,PUBLIC (external),,,,,,,,,,BHIP-AS-AP Bupa Health Insurance Thailand Public Company Limited,Unknown,Thailand,N,25,N,N,permit_any_service|no_change_ref|no_internal_app,,Outbound,Active,permit,mid-fw-vpn2,ASA,bupa-ipsec,2,2,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: Thailand; ASN: BHIP-AS-AP Bupa Health Insurance Thailand Public Company Limited; category: Unknown; risk score: 25; signals: permit_any_service|no_change_ref|no_internal_app,,,,,,20260821
